Clade	Mut	Percent	NSS	BackMutProp
B.1	ZOther	0.270226537216828	1.4783287567975	0.0519357540882107
B.1.1	ZOther	0.317343173431734	1.50626977616313	0.0321325760522835
B.1.2	ZOther	0.32	1.45332890953329	0.0493874134388555
B.1.177	ZOther	0.297945205479452	1.47412126037993	0.0179411991666024
B.1.429	ZOther	0.322834645669291	1.26095644065539	0.0351785336995563
B.1.351	ZOther	0.52	1.50400916380298	0.0971058644325971
B.1.1.7	ZOther	0.245781047165729	1.46272807241565	0.0350999715475544
B.1.526	ZOther	0.271929824561403	1.4259470416825	0.0589071523767215
P.1	ZOther	0.314285714285714	1.55690119184929	0.0937152734905544
AY.26	ZOther	0.371428571428571	1.43628423977769	0.084024322830293
AY.5	ZOther	0.287671232876712	1.67149515052274	0.0204973624717408
AY.4	ZOther	0.25291932059448	1.66000520233362	0.0097465101494435
AY.122	ZOther	0.252212389380531	1.62668456075603	0.100756273633551
AY.98	ZOther	0.338775510204082	1.62306501547988	0.0228217181006881
AY.44	ZOther	0.292787944025834	1.62479440284767	0.103526425528057
AY.47	ZOther	0.296969696969697	1.47092942963679	0.0973617500704159
AY.25	ZOther	0.256164383561644	1.6325448958304	0.101436761760033
AY.3	ZOther	0.281205164992826	1.58222973607589	0.0925837983299695
AY.43	ZOther	0.304347826086957	1.58456606365926	0.047544726726206
AY.39	ZOther	0.248	1.63426247396092	0.116297420333839
AY.103	ZOther	0.27265170407315	1.60826985854189	0.0954119539408175
AY.100	ZOther	0.295180722891566	1.54741896758703	0.0866608862319171
BA.1	ZOther	0.42314990512334	1.33448338010762	0.0683387999228246
BA.1.17	ZOther	0.5625	1.36241610738255	0.0859332238642583
BA.1.18	ZOther	0.425531914893617	1.35132530120482	0.0995007132667618
BA.1.20	ZOther	0.595744680851064	1.28567208271787	0.0951286764705882
BA.1.15	ZOther	0.442553191489362	1.31054395095174	0.07724528096611
BA.1.1.18	ZOther	0.385416666666667	1.40169445938677	0.0672551088937926
BA.1.17.2	ZOther	0.362126245847176	1.34988297395548	0.0457815324454938
BA.1.1	ZOther	0.416556291390728	1.3348326432536	0.0691709748205452
BA.1.15.1	ZOther	0.493150684931507	1.35632415041223	0.0483320978502595
BA.1.1.1	ZOther	0.702127659574468	1.27527098563146	0.0899387230678
BA.2.10	ZOther	0.511111111111111	1.32286654849329	0.0570444104134763
BA.2.3	ZOther	0.492307692307692	1.24913534701406	0.0634056299030918
BA.2.9	ZOther	0.313636363636364	1.27617485778712	0.065456589832142
BA.2	ZOther	0.31571906354515	1.25269503950013	0.0492433590959278
BA.2.12.1	ZOther	0.41407867494824	1.29447907127876	0.0662224453470859
BA.4	ZOther	0.494505494505495	1.24474535165724	0.0417275531742166
BA.4.1	ZOther	0.420289855072464	1.19815151939504	0.0327255726975222
BA.5	ZOther	0.491803278688525	1.22427810485001	0.0302267002518892
BA.5.1	ZOther	0.438053097345133	1.28307261265468	0.0106634639880627
BA.5.5	ZOther	0.420289855072464	1.22738180945524	0.00733209502395151
BE.1	ZOther	0.458646616541353	1.23481624758221	0.0156641604010025
BA.5.6	ZOther	0.490909090909091	1.1878474980143	0.0115346038114343
BA.5.2.1	ZOther	0.394957983193277	1.23207360343263	0.0102802799450825
BA.5.2	ZOther	0.4375	1.21481952615678	0.00894415357766143
BA.4.6	ZOther	0.36231884057971	1.15931108719053	0.0206923995224831
